"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Population","911 Calls Made by Seniors","Total 911 Calls"
"Wychwood",94.0,"N/A",14349.0,774.0,1467.0
"Annex",95.0,"N/A",30526.0,1515.0,4338.0
"Casa Loma",96.0,"N/A",10968.0,539.0,1063.0
"Yonge-St.Clair",97.0,"N/A",12528.0,570.0,975.0
"Rosedale-Moore Park",98.0,"N/A",20923.0,1055.0,2824.0
"Mount Pleasant East",99.0,"N/A",16775.0,590.0,1186.0
"Yonge-Eglinton",100.0,"N/A",11817.0,305.0,911.0
"Forest Hill South",101.0,"N/A",10732.0,500.0,911.0
"Forest Hill North",102.0,"N/A",12806.0,750.0,1257.0
"Lawrence Park South",103.0,"N/A",15179.0,310.0,727.0
"Mount Pleasant West",104.0,"N/A",29658.0,971.0,2534.0
"Lawrence Park North",105.0,"N/A",14607.0,359.0,706.0
"Humewood-Cedarvale",106.0,"N/A",14365.0,344.0,792.0
"Oakwood-Vaughan",107.0,"N/A",21210.0,903.0,1790.0
"Briar Hill-Belgravia",108.0,"N/A",14257.0,672.0,1562.0
"Caledonia-Fairbanks",109.0,"N/A",9955.0,360.0,799.0
"Keelesdale-Eglinton West",110.0,"N/A",11058.0,338.0,834.0
"Rockcliffe-Smythe",111.0,"N/A",22246.0,793.0,2062.0
"Beechborough-Greenbrook",112.0,"N/A",6577.0,276.0,837.0
"Weston",113.0,"N/A",17992.0,607.0,1888.0
"Lambton Baby Point",114.0,"N/A",7985.0,158.0,409.0
"Mount Dennis",115.0,"N/A",13593.0,535.0,1504.0
"Steeles",116.0,"N/A",24623.0,503.0,870.0
"L'Amoreaux",117.0,"N/A",43993.0,1360.0,2630.0
"Tam O'Shanter-Sullivan",118.0,"N/A",27446.0,1180.0,2024.0
"Wexford/Maryvale",119.0,"N/A",27917.0,1280.0,3198.0
"Clairlea-Birchmount",120.0,"N/A",26984.0,1368.0,2986.0
"Oakridge",121.0,"N/A",13845.0,374.0,1440.0
"Birchcliffe-Cliffside",122.0,"N/A",22291.0,805.0,1866.0
"Cliffcrest",123.0,"N/A",15935.0,692.0,1556.0
"Kennedy Park",124.0,"N/A",17123.0,633.0,1898.0
"Ionview",125.0,"N/A",13641.0,444.0,1362.0
"Dorset Park",126.0,"N/A",25003.0,608.0,1862.0
"Bendale",127.0,"N/A",29960.0,997.0,2480.0
"Agincourt South-Malvern West",128.0,"N/A",23757.0,753.0,1627.0
"Agincourt North",129.0,"N/A",29113.0,674.0,1282.0
"Milliken",130.0,"N/A",26572.0,622.0,1235.0
"Rouge",131.0,"N/A",46496.0,886.0,2462.0
"Malvern",132.0,"N/A",43794.0,997.0,2761.0
"Centennial Scarborough",133.0,"N/A",13362.0,217.0,496.0
"Highland Creek",134.0,"N/A",12494.0,295.0,833.0
"Morningside",135.0,"N/A",17455.0,462.0,1206.0
"West Hill",136.0,"N/A",27392.0,1087.0,3136.0
"Woburn",137.0,"N/A",53485.0,1832.0,4159.0
"Eglinton East",138.0,"N/A",22776.0,752.0,1939.0
"Scarborough Village",139.0,"N/A",16724.0,716.0,1711.0
"Guildwood",140.0,"N/A",9917.0,474.0,794.0
